id_produto,id_contrato,id_cliente,data_entrada,valor_fin,qtde_prest,juros_efet,data_entrada,data_final,provisao,fat,rating_operacao,rating_cliente,ra,porte,setor,situacao,rating_atual,linha_fin,tipo_a,tipo_b,tipo_c,tipo_d,garantia,valor_garantia
10928,38110008,308528,41934,33165.83,56,0.493982,41934,44060,2423,68250297,A,C,RA de Campinas,PEQUENA,SETOR PRIVADO,ADIMPLENTE,A,BNDES PANIFICADORAS,ME,RT,PRIV,BNDES,Alien Fiduc - RDME,11600
10928,38210002,311847,41996,71794.68,55,0.495974,41996,44060,5245,72872979,AA,A,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,A,BNDES PANIFICADORAS,ME,RT,PRIV,BNDES,Alien Fiduc - RDME,10277.1
10928,39430006,323969,42080,84610.55,55,0.520222,42080,44180,9713,159815191,AA,AA,RA de Santos,PEQUENA,SETOR PRIVADO,ADIMPLENTE,A,BNDES PANIFICADORAS,ME,RT,PRIV,BNDES,Alien Fiduc - RDME,25900
10928,39420000,330922,42080,32898.81,55,0.552353,42080,44151,0,74238176,AA,B,RA de Santos,PEQUENA,SETOR PRIVADO,ADIMPLENTE,AA,BNDES PANIFICADORAS,ME,RT,PRIV,BNDES,Alien Fiduc - RDME,22040
10928,39400000,335517,41999,76275.98,56,0.51615,41999,44151,5782,626638795,A,C,RA de São José do Rio Preto,MÉDIA,SETOR PRIVADO,ADIMPLENTE,C,BNDES PANIFICADORAS,ME,RT,PRIV,BNDES,Alien Fiduc - RDME,26000
10979,36800031,212750,42444,1455.64,88,0.370373,42444,45061,1098,1416668,A,B,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,FGI ,0
10979,30560039,212806,42353,935.79,74,0.370326,42353,44607,0,7481,AA,B,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,AA,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,FGI ,0
10979,30450039,212849,42391,828.61,73,0.370396,42391,44607,0,6482,AA,B,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,AA,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,FGI ,0
10979,31260039,212857,42353,957,76,0.370347,42353,44669,728,960378,A,B,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,FGI ,0
10979,31540031,212903,42353,808.58,78,0.370373,42353,44727,615,1005795,A,A,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,FGI ,0
